# temperature,rainfall,humidity
93,41,94
81,47,98
65,71,91
87,20,84
82,71,100
87,41,99
45,96,89
26,81,81
23,94,82
25,77,91
73,100,72
68,37,20
39,61,50
62,74,38
92,58,81
86,20,24
69,95,58
90,73,61
65,55,80
43,48,97
80,24,76
68,45,60
76,34,91
69,64,77
44,72,91
68,40,91
83,85,43
72,40,25
54,80,97
66,72,32
20,66,26
98,86,42
92,64,91
29,48,69
77,58,23
92,48,26
80,77,38
23,39,54
94,85,52
98,59,100
55,55,23
21,72,98
42,98,96
61,70,73
46,59,40
27,86,36
48,91,58
72,54,66
51,56,100
61,86,95
42,92,86
85,33,53
33,32,95
86,21,77
94,49,83
24,26,94
30,97,73
69,89,93
60,71,94
30,99,36
92,74,62
91,61,80
59,74,23
70,50,90
53,79,59
40,58,29
71,91,28
85,77,78
88,29,65
34,79,76
41,58,89
20,63,82
59,68,30
30,84,32
51,38,75
38,23,95
32,83,52
74,33,56
99,45,28
53,28,21
39,29,64
67,72,80
75,25,64
23,77,33
73,98,31
93,86,95
100,99,67
85,30,40
44,76,52
26,52,49
100,58,90
48,50,51
41,40,83
79,78,85
45,73,29
47,79,38
53,53,79
97,96,52
61,54,90
58,52,94
78,29,58
36,54,30
24,42,68
95,54,61
85,90,53
81,35,93
71,21,57
24,71,97
30,56,98
83,20,46
49,34,81
38,24,94
99,87,83
55,88,60
82,69,28
44,49,29
85,79,87
94,69,79
24,33,69
35,56,83
32,73,52
49,46,64
25,57,80
42,97,33
80,99,84
85,85,51
81,57,74
38,71,34
23,25,40
85,32,39
95,81,91
46,100,79
98,27,90
99,22,100
73,34,45
21,45,97
69,76,38
55,78,95
27,73,79
23,72,49
48,70,80
87,73,74
52,31,47
78,98,73
82,89,53
70,77,28
72,25,88
48,52,66
55,50,84
44,52,31
44,49,70
50,44,88
38,43,72
80,98,92
44,54,76
60,50,75
50,62,88
39,26,83
38,43,60
87,26,69
68,90,41
70,83,60
44,35,23
61,100,48
84,28,60
96,89,90
51,69,75
55,53,20
73,100,76
89,31,92
27,81,68
57,67,45
49,90,29
52,73,67
78,66,97
81,34,75
100,20,96
65,45,38
42,85,65
29,34,56
75,73,97
96,92,56
21,23,67
90,87,61
69,53,43
65,55,93
46,32,48
91,58,73
91,60,43
22,54,63
64,99,40
70,86,29
31,88,28
89,20,71
62,77,49
67,100,26
51,29,36
48,97,35
71,97,29
29,36,92
54,56,73
68,79,48
47,98,87
27,26,81
66,44,31
58,31,98
50,92,48
96,53,49
87,54,97
71,56,47
92,67,56
74,31,55
25,57,85
26,24,93
26,23,69
49,92,96
39,98,69
38,36,82
27,23,51
79,97,47
80,84,50
47,79,27
45,91,88
78,29,91
36,59,85
38,55,43
42,98,81
100,49,26
58,41,76
31,24,49
89,27,33
62,93,42
53,71,76
81,86,89
82,88,86
50,89,75
56,76,56
54,57,75
38,94,78
58,79,74
53,70,83
55,62,58
74,36,64
87,36,33
96,61,64
71,86,86
37,36,57
75,70,31
95,57,75
66,29,89
57,97,41
42,92,90
67,20,83
26,91,70
38,28,41
90,30,30
98,67,50
42,20,53
44,21,41
54,79,53
81,56,22
75,57,33
47,80,28
56,56,94
99,91,88
35,45,91
35,57,65
45,71,50
25,95,65
70,56,90
50,33,54
89,38,93
32,91,96
98,92,57
92,49,35
29,47,62
43,39,89
85,98,20
44,92,62
61,61,81
59,79,40
87,61,83
43,39,35
64,75,85
52,20,92
21,91,80
28,53,85
22,86,28
53,86,93
99,55,28
62,96,71
32,98,57
81,100,58
90,87,100
60,58,76
80,60,98
77,75,98
48,63,71
51,94,77
53,99,65
31,62,72
91,93,26
93,96,33
31,68,26
49,75,41
92,30,60
70,82,93
20,93,74
58,42,47
42,78,80
67,60,49
75,57,70
92,20,45
82,50,58
75,69,88
95,69,43
20,59,36
57,40,82
91,28,72
98,30,73
80,54,32
68,89,21
56,65,37
61,30,46
72,51,64
78,80,64
34,96,89
88,49,73
54,63,42
59,67,27
67,65,36
79,62,75
76,47,46
81,27,68
50,41,77
37,20,38
87,87,54
85,94,53
60,77,57
52,93,36
83,52,65
24,79,26
56,88,91
67,70,88
27,56,97
91,36,58
74,83,64
44,91,37
91,29,72
63,75,25
42,62,91
86,92,71
99,63,47
26,62,60
91,60,79
39,54,73
98,58,70
62,80,64
82,97,79
51,50,79
86,55,70
54,73,40
20,49,68
33,84,100
79,36,86
83,85,22
44,97,28
44,61,53
54,47,84
31,70,73
40,78,46
53,30,77
39,34,49
39,74,37
39,91,69
96,48,48
95,79,74
25,64,48
71,58,82
78,78,74
76,20,46
54,50,70
37,60,43
81,50,29
53,60,35
43,53,45
100,74,85
76,36,30
78,89,32
78,86,83
77,42,90
26,98,25
51,72,82
93,63,94
60,71,59
26,27,31
35,56,20
20,64,35
71,83,79
45,83,41
29,74,32
86,60,72
94,46,76
59,59,37
31,55,74
37,60,41
77,49,71
42,73,77
32,100,95
80,59,45
67,40,79
63,64,95
25,96,48
64,55,41
26,85,89
57,67,75
94,27,80
59,34,25
97,47,63
63,37,99
65,100,53
88,56,96
31,38,24
43,24,43
37,29,89
50,68,79
37,88,64
35,33,53
75,86,85
87,35,89
62,33,67
97,80,30
33,40,56
78,86,53
87,52,78
71,53,81
32,28,80
87,84,59
67,83,49
75,20,80
84,37,68
28,88,44
22,68,33
53,31,44
31,40,74
89,89,39
94,67,78
24,49,46
79,70,20
64,71,29
94,91,72
62,83,56
98,64,64
35,33,37
94,37,85
80,68,98
82,37,89
73,92,65
79,21,41
88,29,30
74,98,53
39,96,55
48,95,44
41,79,33
76,80,89
93,97,83
61,27,66
78,79,48
60,52,66
34,94,42
65,31,53
36,72,28
83,20,60
47,48,100
36,82,91
80,53,57
35,59,94
34,56,66
40,69,82
68,48,64
22,22,28
26,33,27
49,28,27
32,98,70
26,26,84
84,52,75
98,59,76
89,88,34
35,35,82
41,75,46
97,87,72
59,84,65
97,40,43
71,95,51
67,46,41
51,62,76
25,42,68
56,28,66
40,39,83
70,26,76
72,46,79
80,72,65
98,20,26
76,53,71
30,31,97
54,51,87
39,34,71
100,89,57
30,37,52
29,100,63
100,37,26
35,93,31
80,35,96
77,35,65
30,42,84
86,88,94
26,48,73
69,51,48
87,64,21
69,53,77
53,73,72
41,82,28
61,27,95
33,91,92
34,57,33
97,60,21
66,22,45
40,54,30
55,47,28
21,55,53
37,68,37
46,39,22
27,43,28
23,26,75
27,89,24
20,87,56
86,59,61
80,50,20
70,35,97
33,40,54
90,54,67
76,92,51
87,85,65
24,64,78
24,48,43
65,28,36
25,69,64
82,50,25
39,23,58
25,42,91
46,31,52
93,23,37
92,87,74
43,80,62
29,52,28
99,85,33
44,85,75
